lake_id,subid,name,ebhex,area,depth,longitude,latitude,volume,depth.mean,sedimentArea
89041,24517,Stor-Brinnsjön,0xbe4120,4301391,30,14.348454,63.947226,45200000,11.1,1.47234E+12
89069,23886,Tuvattnet,0x4a3278,1753786,40,14.729266,63.869543,24300000,11,2.44762E+11
89077,23814,Ålåssjön,0x55bb2c,1545237,20,14.661356,63.868573,11100000,11,1.90012E+11
89270,23316,Stor-Kungsvattnet,0x7c79ec,465363,17,14.567215,63.858197,2870000,,17233514283
89370,24075,Lill-Foskvattnet,0xa59565,409296,7,14.47798,63.896075,1170000,5.74,13331074001
89388,24033,Tjärnafjällsjön,0xd3544f,1838285,25,14.63019,63.898737,16300000,11,2.68915E+11
89452,24312,Kärrnässjön,0x6d86e7,6046725,20,15.311958,63.911908,43400000,4.51,2.90958E+12
89512,23916,Hökvattnet,0x776d2a,3477935,27,14.838645,63.883414,33100000,8.34,9.62572E+11
89534,24002,Väster-Lillsjön,0x7d156d,194986,5,14.767378,63.89521,429000,,3025498917
89596,23956,Häggsjön,0xaafe42,15644531,61,14.341534,63.888299,326000000,22.6,1.94767E+13
89621,24945,Valsjön,0x13fdf1,9193593,72,14.207411,64.019853,225000000,21.1,6.72606E+12
89660,24927,Västervattnet,0x17f446,1841084,20,15.621483,64.02593,13200000,4.02,2.69735E+11
89671,24932,Stor-Hasslingen,0xb1167d,1353707,20,14.27776,64.02393,9710000,11.5,1.45828E+11
89741,24598,Järilvattnet,0x58bad0,2480674,20,15.624595,64.019117,17800000,4.12,4.89699E+11
90079,24964,Gårdsvattnet,0xedcc7f,2487259,11,15.542382,64.040968,10400000,4.02,4.92303E+11
90158,24657,Lill-Kingen,0xda18eb,1670212,31,13.966653,63.982277,18100000,9.58,2.2199E+11
90167,24537,Stor-Vallsjön,0xd54e67,989424,12.5,16.130848,63.992674,4630000,4.83,77903149995
90404,24622,Bergsjön,0xb419c6,1475633,30,14.036508,63.972827,15500000,11,1.73279E+11
91249,18618,Örevattnet,0xbfb26,1150754,12,14.750981,62.693089,5190000,5.35,1.05379E+11
91582,18619,Hemsjön,0x8a64d2,6884458,37.5,15.638455,62.724949,89500000,5.49,3.77163E+12
91946,18935,Revsundssjön,0x2108b1,73472918,20,15.353408,62.81404,527000000,15.7,4.29581E+14
92000,19178,Idsjön,0x5c09be,9185507,33,15.71206,62.817967,106000000,5.9,6.71423E+12
92840,19348,Öster-Rörtjärnen,0x8f7b88,107223,7.4,15.962948,62.900452,320000,2.48,914884111.2
93333,19102,Näkten,0xf5f168,83085649,44,14.569372,62.911806,1260000000,16.9,5.49341E+14
93341,19389,Vällingsjön,0x6a0b93,3366606,25.85,17.170878,62.910629,30700000,10,9.01934E+11
93479,19105,Bodsjön,0xd68197,16951221,31.5,14.983079,62.866196,187000000,8.77,2.28661E+13
94110,19764,Sundsjön,0x1c05e,8578779,35,15.175689,62.962921,104000000,10.7,5.85654E+12
94711,19474,Stor-Gussjön,0x503c4d,5708724,22.525,16.849247,62.929613,45800000,7.96,2.59339E+12
95846,28797,Skarvsjön,0x3cd03f,8662117,25,17.119822,64.973217,76600000,4.26,5.97088E+12
97341,22646,Ångsjön,0x61fcd6,1056454,18,13.708965,63.652566,6880000,4.45,88816022920
97365,22744,Västsjön,0x14c30f,807615,20,13.637813,63.650792,5790000,4.38,51903768887
97374,22667,Rörtjärnen,0xe08df8,877572,20,13.548619,63.647445,6300000,,61285206900
97697,22983,Yttre Oldsjön,0x1750,3458805,11,13.659573,63.691505,14500000,5.81,9.52012E+11
97841,22436,Nästsjön,0xd919f6,1172205,6,13.844036,63.612025,2960000,3.93,1.09345E+11
98201,22685,Gysen,0x860ab,11895636,40,14.393423,63.641447,165000000,12.2,1.12607E+13
98209,22700,Lill-Mårdsjön,0x3b38d1,933973,27.9,16.197142,63.647855,9160000,7.18,69415872479
98370,23494,Laxsjön,0x752bd5,2997980,16.3,14.852503,63.810838,17800000,3.95,7.15233E+11
98402,23898,Hotagen,0x5b749a,45798933,65.1675,14.66803,63.789047,1020000000,21.7,1.66917E+14
99045,23177,Betarsjön,0x4dfb80,34085962,45.08,16.769348,63.737031,529000000,10.6,9.24573E+13
99516,21309,Bärmsjön,0xe88a92,4834100,25,17.59311,63.367359,42700000,5.6,1.85961E+12
99517,21404,Norsjön,0x36471d,1231434,10,13.320436,63.356356,4740000,11.3,1.20674E+11
99635,41563,Fullsjön,0xe0ca4a,1796045,18,15.945033,63.436335,11700000,5.46,2.56699E+11
99882,21127,Liten,0x50e196,16245488,19.9,13.686821,63.296572,116000000,5.83,2.10018E+13
100025,20983,Ockesjön,0xbfe077,7999116,16,13.861174,63.278239,46700000,5,5.09183E+12
100104,21157,Degersjön,0xb4c70d,6064989,26.5,17.96207,63.320529,56600000,13.3,2.92719E+12
100187,21486,Näldsjön,0x76c9b3,41803696,31,14.241947,63.346012,453000000,10.6,1.39066E+14
100287,21338,Alsensjön,0xc4428b,22145506,33,14.149319,63.324148,255000000,10.8,3.90267E+13
100379,22112,Getsjön,0x55d754,3259241,10,13.636612,63.534282,12500000,11.3,8.45324E+11
100686,22517,Nässjön,0xa4aef3,10468548,45,16.377743,63.595667,162000000,11.2,8.72093E+12
100687,22325,Görviksjön,0xee9586,9380629,26,15.703844,63.59892,86000000,5.73,7.00252E+12
100835,22306,Gärdessjön,0xe508f2,8333487,60,13.750221,63.559649,171000000,4.26,5.52642E+12
100866,21772,Bodtjärnen,0xf92426,105321,6,17.8453,63.45875,266000,3.89,882714197.4
100895,21844,Stor-Skallsjön,0x456fa,1339507,10,15.763076,63.468423,5160000,5.37,1.42784E+11
100915,21845,Hällsjön,0xa2577e,5498567,41.5,13.996806,63.457709,78800000,13,2.40596E+12
100968,21842,Tännsjön,0x844d58,2331076,47,12.737505,63.445837,37700000,11.7,4.32417E+11
101111,21752,Rödtjärnen,0x57d70b,80396,7.666667,17.852568,63.445364,247000,3.1,514350417.8
101115,21742,Neder-Kriken,0x77414b,733503,4,14.049999,63.450385,1380000,4.65,42814800537
101207,22032,Häggsjön,0x7a03fa,1150710,16,13.287221,63.495893,6720000,11.1,1.05371E+11
101222,21963,Lundsjön,0xce3e31,629853,33,14.531833,63.507169,7250000,,31569562547
