lake_id,subid,name,area,depth,longitude,latitude
751,22441,Landögssjön,46074132.000000,75.375000,14.285620,63.547658
760,22494,Stor-Finnsjön,16976552.000000,40.000000,16.122527,63.599057
100686,22517,Nässjön,10468548.000000,45.000000,16.377743,63.595667
97341,22646,Ångsjön,1056454.000000,18.000000,13.708965,63.652566
777,22653,Äxingen,4984813.000000,28.500000,16.082975,63.675750
97374,22667,Rörtjärnen,877572.000000,20.000000,13.548619,63.647445
98201,22685,Gysen,11895636.000000,40.000000,14.393423,63.641447
98209,22700,Lill-Mårdsjön,933973.000000,27.900000,16.197142,63.647855
97365,22744,Västsjön,807615.000000,20.000000,13.637813,63.650792
775,22746,Rännögssjön,3066542.000000,16.000000,13.816592,63.649787
97697,22983,Yttre Oldsjön,3458805.000000,11.000000,13.659573,63.691505
792,23138,Juvuln,37568464.000000,70.187500,12.958776,63.701339
788,23169,Åkersjön,11962706.000000,40.000000,14.140943,63.696441
99045,23177,Betarsjön,34085962.000000,45.080000,16.769348,63.737031
89270,23316,Stor-Kungsvattnet,465363.000000,17.000000,14.567215,63.858197
98370,23494,Laxsjön,2997980.000000,16.300000,14.852503,63.810838
89077,23814,Ålåssjön,1545237.000000,20.000000,14.661356,63.868573
89069,23886,Tuvattnet,1753786.000000,40.000000,14.729266,63.869543
98402,23898,Hotagen,45798933.000000,65.167500,14.668030,63.789047
89512,23916,Hökvattnet,3477935.000000,27.000000,14.838645,63.883414
89596,23956,Häggsjön,15644531.000000,61.000000,14.341534,63.888299
89534,24002,Väster-Lillsjön,194986.000000,5.000000,14.767378,63.895210
89388,24033,Tjärnafjällsjön,1838285.000000,25.000000,14.630190,63.898737
89370,24075,Lill-Foskvattnet,409296.000000,7.000000,14.477980,63.896075
89452,24312,Kärrnässjön,6046725.000000,20.000000,15.311958,63.911908
88925,24378,Rörvattnet,5367191.000000,33.900000,14.074750,63.962072
839,24385,Lakavattnet,4062412.000000,32.000000,14.839832,63.937698
88755,24402,Öjarssjön,5232871.000000,13.000000,15.078591,63.931288
89041,24517,Stor-Brinnsjön,4301391.000000,30.000000,14.348454,63.947226
90167,24537,Stor-Vallsjön,989424.000000,12.500000,16.130848,63.992674
845,24558,Renåsjön,3572876.000000,30.000000,15.263056,63.975425
89741,24598,Järilvattnet,2480674.000000,20.000000,15.624595,64.019117
90404,24622,Bergsjön,1475633.000000,30.000000,14.036508,63.972827
90158,24657,Lill-Kingen,1670212.000000,31.000000,13.966653,63.982277
71714,24903,Stor-Skirsjön,8824227.000000,30.000000,16.084380,64.065880
89660,24927,Västervattnet,1841084.000000,20.000000,15.621483,64.025930
89671,24932,Stor-Hasslingen,1353707.000000,20.000000,14.277760,64.023930
89621,24945,Valsjön,9193593.000000,72.000000,14.207411,64.019853
90079,24964,Gårdsvattnet,2487259.000000,11.000000,15.542382,64.040968
71804,25030,Ursvattnet,1808343.000000,18.000000,15.695405,64.057761
72112,25145,Stor-Allvattnet,1443110.000000,15.000000,15.568697,64.075281
71083,25274,Gunnarvattnet,3394162.000000,31.000000,14.134119,64.092604
894,25339,Flåsjön,110028561.000000,91.000000,15.916866,64.130779
72891,25351,Tjusjön,4250489.000000,3.875000,16.646932,64.141404
73145,25463,Sallsjön,4613491.000000,10.875000,16.577426,64.160896
903,25653,Lavsjön,3564579.000000,14.375000,16.665730,64.164708
78606,25807,Sängsjön,11164291.000000,28.000000,17.193382,64.232150
77624,25810,Stor-Ringsjön,8359981.000000,51.000000,14.997411,64.264572
78434,25836,Kvisselnvattnet,1705385.000000,23.000000,14.906189,64.239908
77781,26013,Gräsvattnet,2284522.000000,33.000000,14.816012,64.259689
901,26058,Tåsjön,45036405.000000,52.262500,16.007220,64.160733
78866,26285,Gärdvattnet,2714355.000000,20.000000,15.154971,64.355331
69577,26426,Fågelvattnet,5092637.000000,78.000000,14.553468,64.403459
78956,26519,Hetögeln,22967474.000000,59.450000,14.430824,64.388366
69525,26553,Storvattnet,2689559.000000,48.000000,14.392349,64.423080
69959,26606,Gussvattnet,9522497.000000,66.000000,14.315220,64.433083
68994,26641,Rödingträsket,448198.000000,19.000000,18.496215,64.449411
4810,27220,Knäppingesjön,568892.000000,4.000000,18.393153,64.555377
70757,27263,Kvarnbergsvattnet,65907221.000000,99.000000,14.154062,64.502598
997,27411,Björkvattnet,2142721.000000,30.000000,13.781967,64.599260
4949,27417,Bomsjön,4225228.000000,24.000000,17.105177,64.600874
4495,27808,Stor-Dabbsjön,18365600.000000,22.300000,15.342289,64.651065
4479,28085,Malgomaj,102387249.000000,113.500000,16.506724,64.649416
95846,28797,Skarvsjön,8662117.000000,25.000000,17.119822,64.973217
1100,29844,Storuman,170718876.000000,128.750000,17.100699,65.094577
11996,29967,Rödingträsket,527229.000000,20.000000,16.479772,65.291047
2783,30072,Östra Lomtjärnen,395370.000000,6.000000,16.350004,65.337851
1151,30353,Storjuktan,55249616.000000,32.400000,17.331339,65.320986
4062,30512,Umnässjön,12773026.000000,43.800000,16.171494,65.423503
6950,31358,Storvindeln,52161748.000000,35.900000,17.450652,65.636858
78882,40157,Fågelsjön,12334133.000000,83.000000,14.675798,64.353766
31895,40488,Viaredssjön,3858150.000000,28.634000,12.737569,57.695320
31927,40502,Stora Dalsjön,605651.000000,29.200000,13.114247,57.717730
33590,40544,Sommen,130301503.000000,53.000000,15.040549,58.146912
67035,40622,Vättern,1885977434.000000,85.666667,15.041245,58.533162
18088,41185,Knon,12193435.000000,28.400000,13.774105,60.160586
99635,41563,Fullsjön,1796045.000000,18.000000,15.945033,63.436335
817,41630,Ströms Vattudal,145714447.000000,47.663333,15.610375,63.830269
875,41637,Rengen,22674841.000000,70.000000,14.113263,64.064547
79026,41675,Grundvattnet,3801167.000000,30.000000,15.141527,64.397700
69713,41683,Yttre Långvattnet,1234385.000000,20.000000,15.050657,64.445163
70731,41689,Stor-Jougdan,4550867.000000,60.000000,14.838099,64.512452
1297,41864,Uddjaure,249154051.000000,31.000000,18.042885,65.846449
