23.617,23.617,23.617,20.345,12.192,8.518,6.938,6.211,5.831
23.573,23.573,23.573,20.524,12.299,8.577,6.975,6.237,5.852
23.465,23.465,23.465,20.700,12.405,8.635,7.011,6.264,5.873
22.592,22.592,22.592,20.864,12.510,8.693,7.048,6.290,5.894
22.996,22.996,22.996,21.030,12.614,8.750,7.084,6.316,5.915
24.242,24.242,23.624,21.199,12.718,8.807,7.120,6.342,5.936
24.927,24.927,24.234,21.370,12.821,8.864,7.156,6.368,5.956
24.580,24.580,24.580,21.541,12.923,8.921,7.192,6.394,5.977
23.749,23.749,23.749,21.701,13.024,8.978,7.227,6.419,5.997
22.883,22.883,22.883,21.850,13.125,9.034,7.263,6.445,6.018
22.735,22.735,22.735,21.993,13.224,9.090,7.298,6.470,6.038
22.507,22.507,22.507,22.129,13.323,9.145,7.333,6.496,6.058
21.964,21.964,21.964,21.964,13.419,9.200,7.369,6.521,6.078
21.521,21.521,21.521,21.521,13.512,9.255,7.403,6.546,6.098
21.099,21.099,21.099,21.099,13.600,9.309,7.438,6.571,6.118
20.690,20.690,20.690,20.690,13.686,9.363,7.473,6.596,6.138
20.741,20.741,20.741,20.741,13.770,9.417,7.507,6.621,6.158
20.887,20.887,20.887,20.887,13.854,9.470,7.541,6.646,6.178
21.917,21.917,21.496,21.047,13.937,9.523,7.576,6.671,6.198
21.280,21.280,21.280,21.193,14.020,9.575,7.610,6.696,6.217
20.966,20.966,20.966,20.966,14.101,9.627,7.643,6.720,6.237
21.372,21.372,21.372,21.118,14.181,9.679,7.677,6.745,6.256
21.711,21.711,21.711,21.269,14.260,9.730,7.710,6.769,6.276
21.432,21.432,21.432,21.432,14.339,9.781,7.744,6.793,6.295
21.344,21.344,21.344,21.344,14.416,9.831,7.777,6.818,6.315
21.997,21.997,21.905,21.488,14.493,9.881,7.810,6.842,6.334
22.493,22.493,22.442,21.634,14.569,9.931,7.843,6.866,6.353
21.871,21.871,21.871,21.763,14.645,9.980,7.875,6.890,6.372
21.163,21.163,21.163,21.163,14.716,10.029,7.908,6.914,6.391
21.203,21.203,21.203,21.203,14.785,10.078,7.940,6.937,6.410
22.089,22.089,21.749,21.348,14.855,10.126,7.972,6.961,6.429
22.183,22.183,22.183,21.491,14.924,10.173,8.004,6.985,6.448
20.936,20.936,20.936,20.936,14.989,10.220,8.036,7.008,6.467
20.594,20.594,20.594,20.594,15.050,10.267,8.068,7.032,6.486
20.272,20.272,20.272,20.272,15.108,10.313,8.099,7.055,6.505
20.391,20.391,20.391,20.391,15.166,10.359,8.130,7.078,6.523
20.945,20.945,20.903,20.540,15.224,10.404,8.161,7.102,6.542
21.271,21.271,21.271,20.685,15.281,10.449,8.192,7.125,6.561
21.535,21.535,21.535,20.827,15.339,10.494,8.223,7.148,6.579
21.592,21.592,21.592,20.962,15.396,10.538,8.254,7.171,6.598
21.350,21.350,21.350,21.086,15.453,10.581,8.284,7.193,6.616
20.651,20.651,20.651,20.651,15.506,10.624,8.314,7.216,6.635
20.259,20.259,20.259,20.259,15.555,10.667,8.345,7.239,6.653
20.188,20.188,20.188,20.188,15.602,10.709,8.374,7.261,6.671
20.184,20.184,20.184,20.184,15.649,10.751,8.404,7.284,6.690
19.955,19.955,19.955,19.955,15.692,10.792,8.434,7.306,6.708
19.545,19.545,19.545,19.545,15.732,10.833,8.463,7.329,6.726
19.068,19.068,19.068,19.068,15.768,10.873,8.492,7.351,6.744
18.654,18.654,18.654,18.654,15.799,10.913,8.521,7.373,6.762
18.451,18.451,18.451,18.451,15.827,10.952,8.550,7.395,6.780
18.948,18.948,18.900,18.608,15.857,10.991,8.579,7.417,6.798
18.858,18.858,18.858,18.748,15.887,11.029,8.607,7.439,6.816
18.661,18.661,18.661,18.661,15.915,11.066,8.635,7.461,6.834
18.392,18.392,18.392,18.392,15.940,11.104,8.664,7.482,6.852
18.606,18.606,18.606,18.528,15.966,11.140,8.691,7.504,6.869
19.168,19.168,19.013,18.662,15.992,11.176,8.719,7.526,6.887
19.363,19.363,19.363,18.793,16.019,11.212,8.747,7.547,6.905
18.529,18.529,18.529,18.529,16.043,11.247,8.774,7.568,6.922
18.020,18.020,18.020,18.020,16.060,11.282,8.801,7.590,6.940
17.710,17.710,17.710,17.710,16.073,11.316,8.828,7.611,6.957
17.582,17.582,17.582,17.582,16.085,11.349,8.855,7.632,6.975
17.232,17.232,17.232,17.232,16.091,11.382,8.881,7.653,6.992
17.239,17.239,17.239,17.239,16.098,11.414,8.908,7.674,7.009
17.184,17.184,17.184,17.184,16.103,11.446,8.934,7.695,7.027
17.085,17.085,17.085,17.085,16.106,11.477,8.960,7.716,7.044
16.737,16.737,16.737,16.737,16.104,11.508,8.986,7.736,7.061
16.277,16.277,16.277,16.277,16.092,11.538,9.012,7.757,7.078
15.908,15.908,15.908,15.908,15.908,11.565,9.037,7.777,7.095
15.193,15.193,15.193,15.193,15.193,11.586,9.062,7.798,7.113
15.125,15.125,15.125,15.125,15.125,11.606,9.087,7.818,7.130
15.003,15.003,15.003,15.003,15.003,11.625,9.111,7.838,7.147
14.531,14.531,14.531,14.531,14.531,11.639,9.135,7.858,7.163
13.946,13.946,13.946,13.946,13.946,11.647,9.159,7.878,7.180
13.377,13.377,13.377,13.377,13.377,11.647,9.182,7.898,7.197
12.866,12.866,12.866,12.866,12.866,11.641,9.204,7.918,7.214
12.949,12.949,12.949,12.949,12.919,11.637,9.226,7.937,7.231
12.961,12.961,12.961,12.961,12.961,11.634,9.247,7.957,7.247
13.056,13.056,13.056,13.056,12.998,11.632,9.268,7.976,7.264
12.921,12.921,12.921,12.921,12.921,11.628,9.289,7.996,7.280
12.456,12.456,12.456,12.456,12.456,11.618,9.309,8.015,7.297
12.169,12.169,12.169,12.169,12.169,11.602,9.328,8.033,7.313
11.816,11.816,11.816,11.816,11.816,11.577,9.346,8.052,7.330
11.417,11.417,11.417,11.417,11.417,11.417,9.362,8.071,7.346
11.065,11.065,11.065,11.065,11.065,11.065,9.372,8.089,7.362
10.663,10.663,10.663,10.663,10.663,10.663,9.375,8.106,7.378
10.366,10.366,10.366,10.366,10.366,10.366,9.373,8.123,7.394
10.180,10.180,10.180,10.180,10.180,10.180,9.368,8.139,7.410
