,lake,model,scenario,nbr_forcing_data,forcing_data_empty,hyspometry,daily_obs,init,input,par,calibration
66,Black_Oak_Lake,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
67,Black_Oak_Lake,GFDL-ESM2M,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
68,Black_Oak_Lake,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
69,Black_Oak_Lake,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
70,Black_Oak_Lake,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
71,Black_Oak_Lake,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
72,Black_Oak_Lake,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
73,Black_Oak_Lake,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
74,Black_Oak_Lake,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
75,Black_Oak_Lake,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
76,Black_Oak_Lake,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
77,Black_Oak_Lake,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
78,Black_Oak_Lake,MIROC5,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
79,Black_Oak_Lake,MIROC5,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
80,Black_Oak_Lake,MIROC5,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
81,Black_Oak_Lake,MIROC5,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
82,Black_Oak_Lake,MIROC5,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
83,Black_Oak_Lake,EWEMBI,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
84,Crystal_Lake,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
85,Crystal_Lake,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
86,Crystal_Lake,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
87,Crystal_Lake,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
88,Crystal_Lake,GFDL-ESM2M,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
89,Crystal_Lake,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
90,Crystal_Lake,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
91,Crystal_Lake,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
92,Crystal_Lake,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
93,Crystal_Lake,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
94,Crystal_Lake,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
95,Crystal_Lake,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
96,Crystal_Lake,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
