1991.353,1991.353,1991.353,1991.353,1991.353
1989.281,1981.655,1983.642,1985.036,1985.899
1983.868,1983.868,1983.868,1983.868,1983.868
1987.050,1987.050,1987.050,1987.050,1987.050
1990.942,1988.763,1982.261,1982.951,1983.379
1993.888,1984.676,1981.939,1981.695,1981.581
1991.142,1986.263,1979.762,1979.740,1979.718
1990.403,1985.786,1979.906,1979.443,1979.126
1990.041,1984.225,1980.958,1980.641,1980.206
1990.112,1983.523,1978.810,1978.791,1978.736
1987.630,1983.259,1978.249,1978.012,1977.818
1985.330,1985.330,1985.330,1985.330,1985.330
1979.211,1979.211,1979.211,1979.211,1979.211
1979.192,1979.192,1979.192,1979.192,1979.192
1978.563,1978.563,1978.563,1978.563,1978.563
1974.328,1974.328,1974.328,1974.328,1974.328
1981.184,1970.745,1971.152,1971.437,1971.614
1977.490,1966.625,1968.484,1969.789,1970.596
1976.884,1965.121,1966.438,1967.363,1967.935
1963.235,1963.235,1963.235,1963.235,1963.235
1958.324,1958.324,1958.324,1958.324,1958.324
1965.654,1965.654,1965.654,1965.654,1965.654
1970.856,1970.856,1970.856,1970.856,1970.856
1975.866,1975.866,1975.866,1975.866,1975.866
1980.484,1980.484,1980.484,1980.484,1980.484
1983.940,1983.940,1983.940,1983.940,1983.940
1980.155,1980.155,1980.155,1980.155,1980.155
1988.226,1988.226,1988.226,1988.226,1988.226
1989.891,1989.891,1989.891,1989.891,1989.891
1992.057,1992.057,1992.057,1992.057,1992.057
1980.309,1980.309,1980.309,1980.309,1980.309
1970.406,1970.406,1970.406,1970.406,1970.406
1964.641,1964.641,1964.641,1964.641,1964.641
1974.804,1953.609,1955.899,1957.506,1958.500
1962.261,1962.261,1962.261,1962.261,1962.261
1954.551,1954.551,1954.551,1954.551,1954.551
1948.709,1948.709,1948.709,1948.709,1948.709
1943.702,1943.702,1943.702,1943.702,1943.702
1943.695,1943.695,1943.695,1943.695,1943.695
1943.535,1943.535,1943.535,1943.535,1943.535
1958.029,1926.867,1930.554,1933.141,1934.741
1950.480,1950.480,1950.480,1950.480,1950.480
1966.494,1966.494,1966.494,1966.494,1966.494
1960.155,1991.910,1991.910,1991.910,1991.910
1978.093,1978.093,1978.093,1978.093,1978.093
1973.583,1973.583,1973.583,1973.583,1973.583
1959.158,1959.158,1959.158,1959.158,1959.158
1945.299,1945.299,1945.299,1945.299,1945.299
1945.547,1945.547,1945.547,1945.547,1945.547
1949.040,1913.574,1919.511,1923.678,1926.256
1925.895,1925.895,1925.895,1925.895,1925.895
1924.835,1924.835,1924.835,1924.835,1924.835
1951.210,1951.210,1951.210,1951.210,1951.210
1959.423,1959.423,1959.423,1959.423,1959.423
1956.723,1956.723,1956.723,1985.162,1985.162
1961.708,1961.708,1961.708,1961.708,1961.708
1965.309,1965.309,1965.309,1965.309,1965.309
1964.887,1964.887,1964.887,1964.887,1959.345
1964.514,1964.514,1964.514,1964.514,1964.514
1960.615,1960.615,1960.615,1960.615,1960.615
1944.814,1944.814,1944.814,1944.814,1944.814
1952.490,1952.490,1952.490,1952.490,1952.490
